purchase_id,customer_id,vendor_id,unit_id,product_id,date,quantity,discount,store_type,payment_method
112,385,9,3,5,2020-07-26,2,farmabr5,loja web,débito
113,139,16,1,37,2018-11-03,6,,loja web,pix
114,129,1,4,36,2021-03-12,9,farmabr5,loja web,débito
115,453,12,1,37,2018-08-12,6,farmabr5,loja web,dinheiro
116,360,12,1,33,2023-03-11,5,,loja web,dinheiro
117,244,9,6,21,2019-12-05,7,,loja fisica,dinheiro
118,380,15,9,23,2018-02-28,2,,loja fisica,dinheiro
119,55,12,8,3,2018-05-28,3,,loja web,dinheiro
120,417,11,1,25,2022-04-28,6,,loja fisica,dinheiro
121,388,14,3,32,2019-11-23,6,,loja fisica,débito
122,271,9,2,48,2023-08-08,7,,loja web,débito
123,119,20,3,11,2023-03-22,6,,loja fisica,débito
124,357,13,1,39,2019-04-22,6,,loja fisica,dinheiro
125,390,9,4,3,2019-02-10,4,,loja fisica,crédito
126,34,5,5,16,2021-09-08,9,,loja fisica,crédito
127,143,12,2,29,2022-07-01,3,farmabr5,loja fisica,pix
128,178,5,7,26,2021-08-26,10,,loja web,crédito
129,270,19,4,18,2018-01-22,9,,loja fisica,débito
130,256,13,1,13,2019-01-17,5,,loja fisica,débito
131,341,13,10,10,2018-11-27,2,,loja fisica,crédito
132,457,18,10,18,2018-05-02,5,,loja web,pix
133,415,13,2,17,2019-01-03,3,,loja fisica,pix
134,190,11,6,4,2021-08-19,1,,loja fisica,débito
135,37,16,3,45,2018-04-16,9,,loja web,dinheiro
136,406,16,3,22,2023-07-20,5,,loja web,crédito
137,343,4,10,41,2020-11-13,10,,loja web,débito
138,111,20,2,23,2023-05-07,10,,loja web,crédito
139,10,14,10,17,2023-01-10,1,,loja fisica,débito
140,408,4,4,17,2019-03-12,8,,loja fisica,dinheiro
141,59,7,4,31,2021-06-25,5,,loja fisica,dinheiro
142,464,7,5,5,2019-08-06,4,,loja fisica,débito
143,36,4,6,3,2019-03-07,8,,loja fisica,crédito
144,90,11,10,46,2020-10-09,7,,loja fisica,dinheiro
145,72,19,8,22,2018-07-02,7,,loja fisica,pix
146,129,3,5,22,2020-12-29,5,,loja web,pix
147,292,2,1,6,2019-02-21,9,,loja fisica,dinheiro
148,298,20,6,19,2019-01-25,6,,loja fisica,dinheiro
149,166,3,3,30,2020-12-19,7,,loja fisica,dinheiro
150,96,7,1,31,2022-01-11,4,,loja web,pix
151,188,17,10,7,2021-05-17,1,,loja fisica,dinheiro
152,483,9,8,18,2021-08-09,2,,loja fisica,crédito
153,85,9,4,20,2020-04-17,9,,loja web,crédito
154,159,3,5,41,2023-03-20,3,,loja fisica,débito
155,499,8,4,35,2020-07-04,5,,loja fisica,pix
156,425,6,9,33,2022-05-03,1,,loja fisica,dinheiro
157,452,11,5,20,2021-02-15,2,,loja web,dinheiro
158,272,14,7,46,2021-09-05,10,,loja fisica,débito
159,83,2,9,30,2019-05-05,10,,loja web,dinheiro
160,427,7,8,37,2023-05-27,4,,loja fisica,dinheiro
161,78,5,6,8,2023-07-19,4,,loja fisica,crédito
162,286,9,1,2,2019-09-12,5,,loja web,débito
163,24,19,8,15,2023-09-11,3,,loja web,pix
164,348,1,1,12,2020-10-07,9,,loja fisica,pix
165,44,15,6,27,2021-09-27,5,,loja fisica,pix
166,173,4,4,14,2022-07-05,3,,loja web,pix
167,249,17,7,47,2021-09-20,5,,loja web,crédito
168,80,9,8,9,2020-12-13,2,,loja fisica,dinheiro
169,443,14,10,10,2022-02-18,8,,loja web,débito
170,58,9,3,35,2020-01-13,10,,loja fisica,pix
171,158,10,3,31,2022-09-07,10,,loja fisica,débito
172,44,11,8,15,2018-12-04,2,,loja fisica,crédito
173,71,14,8,49,2021-12-04,9,,loja web,dinheiro
174,2,15,9,47,2018-05-08,2,,loja web,crédito
175,221,10,9,38,2022-08-14,7,,loja web,dinheiro
176,212,13,4,20,2019-02-02,4,,loja web,crédito
177,473,6,5,47,2021-06-23,4,,loja web,dinheiro
178,332,15,10,39,2019-09-06,8,,loja web,débito
179,176,5,6,3,2018-07-12,4,,loja fisica,crédito
180,166,11,5,17,2020-02-07,2,,loja fisica,dinheiro
181,61,10,8,16,2019-08-25,6,,loja web,pix
182,158,8,5,42,2021-01-17,9,,loja fisica,crédito
183,139,20,4,33,2019-06-04,1,,loja web,crédito
184,446,15,4,27,2019-04-28,4,,loja fisica,pix
185,94,7,10,25,2018-02-11,5,,loja fisica,dinheiro
186,321,8,6,10,2021-04-21,2,,loja fisica,dinheiro
187,289,18,8,29,2018-07-08,4,farmabr10,loja web,débito
188,102,14,2,36,2019-04-21,3,,loja fisica,débito
189,71,19,2,15,2018-07-24,1,,loja web,dinheiro
190,376,6,5,38,2019-09-30,4,,loja fisica,crédito
191,185,5,5,49,2020-02-23,10,,loja web,crédito
192,272,1,4,14,2023-02-24,10,,loja web,dinheiro
193,160,19,10,43,2019-02-26,3,,loja fisica,dinheiro
194,176,5,6,20,2020-08-10,5,,loja web,dinheiro
195,119,2,7,8,2023-07-17,8,,loja web,débito
196,134,18,1,31,2018-10-28,1,,loja web,débito
197,467,20,4,47,2022-04-01,6,,loja web,dinheiro
198,17,2,4,12,2022-02-24,6,,loja web,dinheiro
199,465,19,2,22,2020-08-24,2,,loja fisica,pix
200,443,3,9,24,2018-05-21,10,,loja fisica,débito
201,100,20,5,49,2018-11-11,2,,loja web,crédito
202,45,18,8,28,2023-01-13,6,,loja web,crédito
203,25,8,2,19,2022-03-21,7,,loja web,crédito
204,167,10,4,8,2021-06-18,2,farmabr10,loja fisica,dinheiro
205,264,10,5,28,2020-04-01,8,farmabr15,loja fisica,dinheiro
206,19,2,1,7,2023-07-23,2,,loja web,dinheiro
207,387,6,5,29,2019-03-12,1,,loja web,crédito
208,32,8,4,37,2019-03-10,8,,loja fisica,dinheiro
209,152,2,6,34,2018-04-21,6,,loja web,pix
210,75,8,3,12,2019-02-17,4,,loja fisica,dinheiro
211,287,3,6,37,2022-11-19,3,,loja web,crédito
212,132,18,7,42,2020-08-02,5,,loja fisica,crédito
213,454,2,1,15,2021-10-23,8,farmabr5,loja fisica,dinheiro
214,117,18,2,3,2019-07-09,9,,loja fisica,dinheiro
215,193,17,9,3,2021-04-26,6,,loja fisica,débito
216,116,17,9,32,2020-11-25,10,,loja fisica,débito
217,91,18,4,7,2018-09-14,7,,loja web,crédito
218,331,9,2,5,2020-07-18,4,,loja fisica,crédito
219,487,5,5,28,2022-10-19,4,,loja web,débito
220,248,4,1,6,2018-03-27,9,,loja fisica,pix
221,28,6,7,48,2022-11-06,8,,loja fisica,crédito
222,397,18,1,11,2021-11-09,8,,loja fisica,débito
223,99,16,8,47,2020-09-04,1,,loja fisica,dinheiro
224,361,12,6,8,2022-11-02,3,,loja web,dinheiro
225,187,7,9,15,2023-08-06,6,,loja fisica,débito
226,414,7,1,33,2023-05-21,3,,loja web,débito
227,288,11,10,24,2019-05-31,5,,loja web,dinheiro
228,408,5,5,49,2023-06-27,1,,loja web,pix
229,95,11,10,6,2023-09-21,5,,loja web,dinheiro
230,410,11,2,39,2022-09-24,8,farmabr15,loja fisica,débito
231,210,2,10,20,2018-05-18,5,,loja fisica,dinheiro
232,229,3,6,49,2020-11-06,8,farmabr10,loja fisica,dinheiro
233,188,17,5,10,2018-01-17,5,,loja fisica,dinheiro
234,46,15,3,21,2018-08-17,8,farmabr10,loja fisica,dinheiro
235,344,2,6,28,2018-07-03,10,,loja fisica,débito
236,366,11,1,47,2020-03-28,8,,loja web,débito
237,366,1,5,48,2020-05-14,2,,loja fisica,dinheiro
238,316,6,8,18,2023-03-26,8,,loja fisica,crédito
239,382,14,9,4,2022-09-01,8,,loja fisica,débito
240,445,11,1,10,2019-03-30,9,,loja web,pix
241,142,1,6,29,2020-10-27,5,,loja fisica,crédito
242,449,13,3,7,2021-05-03,1,,loja web,pix
243,46,18,2,33,2018-11-16,9,,loja fisica,crédito
244,136,9,4,19,2021-12-03,1,,loja web,pix
245,452,8,6,3,2022-06-15,9,,loja web,dinheiro
246,37,5,10,41,2019-02-25,7,farmabr5,loja web,crédito
247,484,9,5,20,2018-01-10,7,,loja fisica,pix
248,105,19,10,27,2022-05-09,6,,loja web,débito
249,4,4,4,8,2019-07-24,3,,loja fisica,pix
250,349,14,2,42,2019-07-05,10,,loja fisica,crédito
251,469,14,4,1,2021-11-26,7,,loja web,crédito
252,16,16,10,49,2021-05-18,7,farmabr5,loja fisica,débito
253,277,14,8,36,2018-05-12,8,,loja fisica,crédito
254,478,2,1,33,2018-08-17,5,,loja fisica,pix
255,225,2,6,10,2022-03-31,10,,loja fisica,débito
256,247,9,4,20,2022-01-24,10,,loja web,pix
257,491,18,3,34,2023-08-12,4,,loja web,pix
258,386,16,9,17,2020-07-24,2,,loja fisica,débito
259,113,12,8,43,2018-05-17,5,,loja fisica,crédito
260,414,11,6,20,2019-12-15,10,,loja fisica,crédito
261,264,1,5,33,2022-07-14,2,,loja fisica,dinheiro
262,452,11,8,47,2021-12-18,5,,loja fisica,crédito
263,193,18,8,6,2018-12-21,7,,loja web,dinheiro
264,306,9,7,17,2023-06-06,8,,loja web,dinheiro
265,220,5,4,49,2023-05-16,10,,loja web,débito
266,159,11,5,5,2021-04-01,10,,loja web,débito
267,293,4,1,6,2021-06-14,5,,loja web,crédito
268,328,9,10,24,2021-09-08,6,,loja fisica,dinheiro
269,238,13,1,14,2022-10-21,6,,loja fisica,pix
270,295,2,9,14,2022-06-14,9,,loja fisica,pix
271,191,13,5,20,2018-02-01,10,,loja fisica,débito
272,45,3,10,47,2018-10-17,4,,loja web,pix
273,482,6,10,28,2020-12-09,8,,loja web,dinheiro
274,412,4,6,23,2021-09-12,6,,loja fisica,pix
275,57,2,1,27,2023-01-03,1,,loja web,débito
276,300,6,3,6,2021-06-24,3,,loja fisica,dinheiro
277,41,14,2,2,2019-03-27,10,farmabr15,loja web,crédito
278,135,3,6,23,2018-10-14,9,,loja fisica,débito
279,9,4,8,6,2020-07-04,7,,loja web,dinheiro
280,101,15,3,27,2023-03-27,4,,loja fisica,crédito
281,90,4,9,32,2022-06-29,2,,loja web,crédito
282,445,11,6,35,2022-10-19,9,,loja web,débito
283,215,9,4,6,2020-08-05,2,,loja web,débito
284,66,7,9,14,2022-01-30,7,,loja web,crédito
285,143,3,6,47,2019-06-24,2,,loja fisica,pix
286,480,1,2,30,2018-05-12,1,,loja fisica,débito
287,412,20,10,1,2018-05-14,6,,loja web,dinheiro
288,168,20,6,39,2020-08-22,6,,loja web,pix
289,482,2,9,16,2018-07-09,6,,loja web,crédito
290,395,7,9,45,2020-10-06,10,,loja web,débito
291,356,4,10,11,2022-01-09,8,,loja fisica,crédito
292,72,3,6,26,2023-02-13,9,,loja web,crédito
293,11,17,9,32,2022-02-04,1,,loja web,pix
294,342,19,9,5,2021-03-17,6,farmabr15,loja web,crédito
295,463,11,6,49,2022-08-03,5,,loja web,débito
296,338,9,7,37,2018-11-15,10,,loja web,dinheiro
297,345,2,2,37,2018-01-16,4,,loja web,pix
298,34,12,10,24,2020-11-28,9,,loja web,débito
299,161,19,7,47,2018-05-03,9,farmabr10,loja fisica,dinheiro
300,285,19,6,13,2019-01-11,2,,loja web,pix
301,28,18,5,18,2018-08-18,6,,loja web,crédito
302,237,20,3,17,2022-04-17,1,,loja web,pix
303,277,5,10,13,2019-03-09,9,,loja web,pix
304,275,4,10,34,2020-12-26,1,farmabr5,loja fisica,pix
305,407,1,4,40,2019-09-13,6,,loja web,pix
306,431,18,2,37,2020-04-10,5,,loja fisica,pix
307,307,12,3,13,2022-11-19,5,,loja fisica,dinheiro
308,472,18,5,32,2023-04-21,8,,loja web,crédito
309,460,19,3,40,2022-01-29,5,,loja fisica,pix
310,383,3,8,4,2020-05-20,1,,loja web,crédito
311,467,8,4,23,2023-02-01,5,,loja fisica,débito
312,466,1,2,48,2021-11-04,1,,loja web,pix
313,199,12,9,20,2022-10-02,1,,loja fisica,débito
314,444,20,4,8,2021-12-15,8,,loja fisica,pix
315,355,10,2,12,2018-03-13,9,,loja fisica,débito
316,303,16,1,37,2019-11-22,2,,loja web,pix
317,375,5,9,3,2020-09-01,9,,loja web,dinheiro
318,45,14,9,8,2019-12-14,3,,loja web,débito
319,367,12,3,17,2019-12-27,5,,loja fisica,crédito
320,68,18,7,20,2023-02-11,1,,loja fisica,débito
321,174,3,10,7,2020-11-13,1,,loja web,pix
322,258,8,6,23,2023-05-16,6,,loja web,dinheiro
323,184,9,4,39,2019-01-26,5,,loja web,pix
324,418,12,10,37,2022-02-03,8,,loja web,crédito
325,377,15,6,37,2021-07-11,4,,loja web,débito
326,216,5,9,25,2021-07-03,3,,loja web,pix
327,90,7,3,31,2020-05-05,7,farmabr10,loja fisica,pix
328,302,5,10,41,2018-12-27,7,,loja web,crédito
329,85,20,1,33,2018-11-18,2,,loja fisica,dinheiro
330,21,2,8,12,2021-07-27,6,,loja fisica,débito
331,60,2,10,11,2018-06-21,8,,loja fisica,pix
332,143,13,2,14,2021-03-10,1,,loja fisica,dinheiro
333,421,19,3,33,2018-09-29,9,,loja fisica,pix
334,152,3,1,45,2020-04-22,2,,loja fisica,débito
335,132,4,9,16,2020-09-27,6,,loja fisica,pix
336,413,12,4,27,2018-11-20,2,,loja fisica,crédito
337,272,19,3,1,2020-12-27,5,,loja web,crédito
338,240,18,1,16,2018-11-30,5,farmabr10,loja web,débito
339,217,14,7,41,2018-03-30,8,,loja web,dinheiro
340,74,15,7,11,2019-04-21,2,,loja web,débito
341,196,14,2,32,2021-07-07,10,,loja web,crédito
342,219,13,3,25,2022-02-11,4,,loja web,pix
343,187,16,9,20,2021-04-12,6,,loja web,pix
344,471,2,2,28,2020-12-01,2,,loja fisica,débito
345,365,4,7,38,2020-07-20,10,,loja web,dinheiro
346,247,13,9,15,2019-06-23,5,,loja fisica,pix
347,93,4,2,49,2020-11-11,5,,loja web,débito
348,85,5,4,39,2018-10-22,5,,loja web,dinheiro
349,120,16,1,39,2021-08-25,1,,loja web,pix
350,449,17,10,17,2022-06-15,10,,loja fisica,dinheiro
351,2,4,1,28,2018-04-29,5,,loja web,crédito
352,192,11,10,26,2023-03-28,1,,loja fisica,crédito
353,429,17,9,14,2021-06-05,9,,loja fisica,dinheiro
354,343,18,10,34,2019-04-07,9,,loja fisica,dinheiro
355,13,11,10,34,2022-05-12,4,,loja web,dinheiro
356,227,7,8,11,2019-12-06,3,,loja fisica,pix
357,238,18,7,28,2018-04-02,7,,loja fisica,pix
358,423,19,7,40,2021-09-26,4,,loja fisica,débito
359,464,17,6,45,2021-05-24,7,,loja fisica,pix
360,229,10,1,16,2021-11-09,7,,loja fisica,crédito
361,51,6,4,12,2018-05-15,3,,loja web,pix
362,172,10,2,24,2018-07-21,4,,loja fisica,crédito
363,119,15,6,22,2020-01-09,7,,loja web,dinheiro
364,162,9,2,28,2019-03-18,8,,loja fisica,débito
365,327,17,10,2,2019-03-21,10,,loja web,dinheiro
366,435,7,8,7,2020-12-15,8,,loja fisica,pix
367,469,16,8,49,2018-04-13,5,,loja web,débito
368,179,16,8,31,2019-08-14,10,,loja fisica,crédito
369,181,11,6,29,2023-04-13,6,,loja web,crédito
370,28,7,10,22,2022-06-02,6,,loja web,dinheiro
371,240,12,3,4,2019-02-26,2,,loja fisica,pix
372,271,14,9,17,2022-06-07,6,farmabr5,loja web,crédito
373,450,11,2,39,2019-04-02,9,,loja web,pix
374,433,2,2,29,2021-02-10,5,,loja web,crédito
375,78,4,7,41,2019-06-21,4,,loja fisica,débito
376,482,5,2,28,2018-01-12,3,,loja fisica,dinheiro
377,25,20,10,46,2019-02-20,6,,loja web,crédito
378,371,20,9,13,2022-06-20,1,,loja fisica,pix
379,186,1,3,1,2019-10-14,1,,loja fisica,dinheiro
380,373,18,5,45,2021-06-09,3,,loja web,crédito
381,389,10,7,12,2018-01-11,1,,loja web,débito
382,347,10,8,32,2019-03-09,3,,loja fisica,crédito
383,347,20,10,31,2019-06-27,5,,loja fisica,débito
384,388,13,9,28,2020-12-03,5,,loja web,dinheiro
385,137,8,4,17,2021-12-14,8,,loja fisica,pix
386,380,4,3,18,2022-03-04,7,,loja web,pix
387,89,13,8,12,2022-05-06,7,,loja web,dinheiro
388,35,12,10,8,2019-02-14,3,,loja web,débito
389,395,11,8,18,2020-07-23,9,,loja fisica,débito
390,60,3,7,6,2018-10-17,4,,loja fisica,pix
391,484,20,7,46,2021-09-12,3,,loja fisica,dinheiro
392,57,10,3,16,2018-10-09,10,,loja web,débito
393,67,7,9,14,2020-08-27,4,,loja fisica,dinheiro
394,122,15,6,30,2019-10-29,9,,loja fisica,crédito
395,132,6,5,29,2019-12-16,9,,loja fisica,crédito
396,218,7,7,31,2021-12-09,1,,loja web,dinheiro
397,424,12,2,24,2021-12-14,2,,loja fisica,crédito
398,26,2,1,43,2022-10-03,8,,loja web,pix
399,328,20,10,8,2018-11-10,9,,loja web,dinheiro
400,244,6,9,14,2018-11-25,8,,loja web,pix
401,57,3,4,7,2022-10-11,1,,loja web,débito
402,181,19,8,27,2018-03-26,9,,loja fisica,débito
403,426,10,4,23,2023-05-31,7,,loja web,débito
404,373,11,2,43,2018-08-24,2,,loja web,pix
405,96,10,9,46,2023-08-29,9,,loja fisica,dinheiro
406,192,8,4,31,2020-01-07,6,,loja web,débito
407,274,20,9,45,2019-03-30,2,farmabr15,loja fisica,pix
408,153,10,8,20,2019-11-05,1,,loja web,pix
409,294,7,8,38,2020-05-07,9,farmabr5,loja fisica,pix
410,186,15,1,36,2022-02-05,2,,loja web,dinheiro
411,351,19,4,7,2018-12-30,6,,loja fisica,crédito
412,55,6,9,10,2023-06-20,6,farmabr15,loja web,dinheiro
413,121,16,5,47,2018-05-06,2,,loja fisica,débito
414,261,8,10,49,2020-10-16,1,,loja web,crédito
415,456,7,10,47,2022-03-17,7,,loja fisica,crédito
416,376,4,5,40,2021-05-06,10,,loja fisica,débito
417,383,12,7,33,2019-07-18,1,,loja fisica,dinheiro
418,360,19,9,33,2021-12-06,7,,loja fisica,débito
419,82,6,10,21,2022-10-31,3,,loja fisica,pix
420,32,1,8,39,2021-11-30,5,,loja web,débito
421,33,17,7,23,2018-04-15,5,,loja web,dinheiro
422,81,12,9,34,2019-10-04,6,,loja fisica,crédito
423,419,16,6,33,2023-01-15,7,,loja web,dinheiro
424,416,2,3,15,2019-03-24,6,,loja fisica,débito
425,375,17,7,4,2022-02-20,6,,loja web,pix
426,295,7,1,8,2019-08-03,2,,loja fisica,crédito
427,391,17,8,2,2021-12-15,5,,loja web,crédito
428,14,12,10,46,2018-10-10,5,,loja fisica,dinheiro
429,29,2,3,13,2022-06-09,1,,loja web,débito
430,32,11,6,49,2019-10-18,9,farmabr15,loja fisica,pix
431,141,10,9,36,2021-12-05,10,,loja web,dinheiro
432,69,7,8,33,2020-04-19,4,,loja web,débito
433,107,10,1,35,2018-03-12,1,,loja fisica,débito
434,149,20,2,27,2022-08-19,8,,loja web,crédito
435,180,16,8,35,2023-03-12,10,,loja web,pix
436,113,20,1,20,2019-11-19,1,,loja fisica,crédito
437,412,10,7,42,2021-08-07,10,,loja web,crédito
438,420,11,8,20,2023-03-25,5,,loja fisica,crédito
439,131,7,6,25,2018-11-28,10,,loja web,crédito
440,465,20,10,10,2022-10-11,9,,loja web,crédito
441,58,19,8,46,2019-08-05,3,,loja fisica,pix
442,46,19,10,11,2022-06-25,4,,loja fisica,dinheiro
443,226,9,10,26,2021-08-25,6,,loja fisica,débito
444,382,20,5,44,2019-03-15,2,,loja web,débito
445,426,17,3,29,2020-12-21,1,,loja fisica,crédito
446,135,17,8,47,2018-06-07,7,,loja fisica,dinheiro
447,96,13,10,40,2018-03-30,10,,loja fisica,pix
448,348,6,10,17,2020-03-18,7,,loja web,débito
449,363,3,7,49,2019-01-12,1,,loja fisica,pix
450,307,8,2,49,2018-09-10,9,,loja web,crédito
451,205,2,4,10,2019-08-03,5,,loja web,crédito
452,310,14,1,1,2018-11-09,5,,loja web,dinheiro
453,1,5,10,15,2020-01-28,1,,loja web,débito
454,351,16,4,47,2021-02-27,8,,loja fisica,pix
455,243,12,5,13,2023-03-11,9,,loja fisica,crédito
456,47,6,5,18,2022-02-26,4,,loja web,pix
457,450,6,2,35,2020-07-17,6,,loja fisica,débito
458,302,13,7,44,2021-08-19,1,,loja fisica,débito
459,83,10,5,3,2023-01-23,9,,loja web,crédito
460,490,1,8,23,2022-01-16,6,,loja fisica,crédito
461,64,15,5,21,2022-04-14,6,,loja fisica,débito
462,487,6,8,8,2023-05-23,5,,loja fisica,dinheiro
463,246,6,7,9,2019-04-27,7,,loja fisica,crédito
464,272,7,3,25,2023-03-04,5,,loja fisica,dinheiro
465,178,13,6,8,2018-03-29,10,,loja web,crédito
466,298,11,1,31,2021-01-17,9,farmabr10,loja fisica,débito
467,435,18,1,29,2018-01-15,9,farmabr15,loja fisica,débito
468,64,5,10,3,2018-11-09,2,,loja web,débito
469,394,17,8,43,2018-08-30,2,,loja web,pix
470,96,14,5,10,2019-04-16,5,,loja web,crédito
471,1,2,10,29,2021-03-30,4,,loja web,débito
472,252,17,3,33,2021-08-11,10,farmabr10,loja web,pix
473,208,1,8,10,2018-12-20,7,,loja fisica,dinheiro
